,HS,product_name,green_world_average,blue_world_average,grey_world_average
298,070200a,"Tomato juice, concentrated",539.0,316.0,213.0
299,070200b,Tomato paste,431.0,253.0,171.0
300,070200c,Tomato ketchup,270.0,158.0,107.0
301,070200d,Tomato puree,360.0,211.0,142.0
302,070200e,Peeled tomatoes,135.0,79.0,53.0
303,070200f,"Tomato, dried",2157.0,1265.0,853.0
304,200950,"Tomato juice unfermented&not spirited,whether or not sugared or sweet",135.0,79.0,53.0
305,070410,"Cauliflowers and headed broccoli, fresh or chilled",189.0,21.0,75.0
306,070420,"Brussels sprouts, fresh or chilled",189.0,21.0,75.0
307,070990_b,"Pumpkins, squash and gourds",228.0,24.0,84.0
308,070700,"Cucumbers and gherkins, fresh or chilled",206.0,42.0,105.0
309,071140,"Cucumbers&gherkins provisionally presvd,but nt f immediate consumption",206.0,42.0,105.0
310,070930,"Aubergines(egg-plants), fresh or chilled",234.0,33.0,95.0
311,070960,"Peppers of the genus Capsicum or of the genus Pimenta,fresh or chilled",240.0,42.0,97.0
312,070310,"Onions and shallots, fresh or chilled",176.0,44.0,51.0
313,071110,"Onions,provisionally preservd but nt suitable f immediate consumption",192.0,88.0,65.0
314,071220,Onions dried but not further prepared,192.0,88.0,65.0
315,070320,"Garlic, fresh or chilled",337.0,81.0,170.0
316,070320a,Garlic powder,1297.0,313.0,655.0
317,070820,"Beans, shelled or unshelled, fresh or chilled",320.0,54.0,188.0
318,071022,"Beans, frozen",456.0,76.0,269.0
319,070810,"Peas, shelled or unshelled, fresh or chilled",382.0,63.0,150.0
320,071021,"Peas, frozen",546.0,89.0,215.0
321,070820_b,String beans,301.0,104.0,143.0
322,070610,"Carrots and turnips, fresh or chilled",106.0,28.0,61.0
323,070940,"Celery, other than celeriac, fresh or chilled",106.0,28.0,61.0
324,070990cb,Okra,474.0,36.0,65.0
325,070990ca,"Maize, green",455.0,157.0,88.0
326,071040,"Sweet corn, frozen",455.0,157.0,88.0
327,121210,Carobs,4557.0,334.0,703.0
328,070990,"Vegetables, fresh or chilled nes",205.0,33.0,101.0
329,071080,"Vegetables, frozen nes",292.0,47.0,144.0
330,071090,"Mixtures of vegetables, frozen",205.0,33.0,101.0
331,071190,Vegetables nes&mixtures provis presvd but nt f immediate consumptn,205.0,33.0,101.0
332,071290,"Vegetables and mixtures dried, but not further prepared nes",584.0,94.0,288.0
333,121299,Vegetable products nes used primarily for human consumption,205.0,33.0,101.0
334,080300,"Bananas including plantains, fresh or dried",660.0,97.0,33.0
335,080300aa,Bananas,660.0,97.0,33.0
336,080300_b,Plantains,1570.0,27.0,6.0
337,080510,"Oranges, fresh or dried",401.0,110.0,49.0
338,200911,"Orange juice,unfermentd&not spiritd,whether/not sugard/sweet,frozen",729.0,199.0,90.0
339,200919,"Orange juice nes,unfermentd&not spiritd,whether or not sugard or sweet",729.0,199.0,90.0
340,080520,"Mandarins(tang&sats)clementines&wilkgs &sim citrus hybrids,fresh/drid",479.0,118.0,152.0
341,080530,"Lemons and limes, fresh or dried",432.0,152.0,58.0
342,080540,"Grapefruit, fresh or dried",367.0,85.0,54.0
343,200920,"Grapefruit juice,unfermentd&not spiritd,whether or not sugard or sweet",490.0,114.0,71.0
344,080590,"Citrus fruits, fresh or dried, nes",1145.0,62.0,35.0
345,081400,"Peel of citrus fruit/melons (watermelons) fresh,frz,drid/prov presvd",1370.0,74.0,42.0
346,200930,"Citrus fruit juice nes exc mx unferment unspiritd,wthr/nt sug/sweet",1459.0,79.0,45.0
347,200980,"Fruit&veg juice nes (exc mx) unferment unspiritd,whether/not sug/sweet",1459.0,79.0,45.0
348,200990,Mixtures of juices unfermentd&not spiritd whether o not sugard o sweet,1459.0,79.0,45.0
349,080810,"Apples, fresh",561.0,133.0,127.0
350,081330,"Apples, dried",4678.0,1111.0,1058.0
351,200970,Apple juice unfermented&not spiritd whether or not sugard or sweetend,780.0,185.0,176.0
352,080820,"Pears and quinces, fresh",645.0,94.0,183.0
353,080910,"Apricots, fresh",694.0,502.0,92.0
354,081310,"Apricots, dried",2392.0,1730.0,316.0
355,080920_b,Sour cherries,1098.0,213.0,99.0
356,080920,"Cherries, fresh",961.0,531.0,112.0
357,081210,Cherries provisionally preservd but unsuitable f immediate consumption,961.0,531.0,112.0
358,080930,"Peaches, including nectarines, fresh",583.0,188.0,139.0
359,080940,"Plums and sloes, fresh",1570.0,188.0,422.0
360,081320,"Prunes, dried",4487.0,537.0,1204.0
361,081090ac,"Stone fruit, nes",868.0,1049.0,136.0
362,081350,Mixtures of edible nuts or dried fruits of this chapter,868.0,1049.0,136.0
363,121230,"Apricot,peach/plum stones&kernels nes,usd primly f human consumption",868.0,1049.0,136.0
364,081010,"Strawberries, fresh",201.0,109.0,37.0
365,081110,"Strawberries,uncookd o steamd o boild in water,sweetend o not,frozen",201.0,109.0,37.0
366,081220,Strawberries provis preservd but unsuitable f immediate consumption,201.0,109.0,37.0
367,081020,"Raspberries, blackberries, mulberries and loganberries, fresh",293.0,53.0,67.0
368,081120,"Raspberries,mulberries,etc uncook,steam/boil in water sweetend/nt,froz",293.0,53.0,67.0
369,081030_b,Gooseberries,487.0,8.0,31.0
370,081030,"Black, white or red currants and gooseberries, fresh",457.0,19.0,23.0
371,081030_a,Currants,457.0,19.0,23.0
372,081040_c,Blueberries,341.0,334.0,170.0
373,081040,"Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",91.0,108.0,77.0
374,081040_b,Berries Nes,200.0,175.0,74.0
375,080610,"Grapes, fresh",425.0,97.0,87.0
376,080620,"Grapes, dried",1700.0,386.0,347.0
377,200960,"Grape juice (incl grape must) unferment&unspiritd,wthr/nt sug/sweet",567.0,129.0,116.0
378,220410,"Grape wines, sparkling",607.0,138.0,124.0
